model_version,model_label,feature,rank,baseline_mae,mae_increase_mean,mae_increase_std
v1_basic,v1 basic,Accel_Mag_RMS,1,0.2353624375528438,1.0501884346505463,0.11124568904586049
v1_basic,v1 basic,Cadence_spm,2,0.2353624375528438,0.3313321837138596,0.034302974465657866
v1_basic,v1 basic,RMS_Z,3,0.2353624375528438,0.279141311860645,0.01819808603313873
v1_basic,v1 basic,Gyro_RMS_Y,4,0.2353624375528438,0.05897317127839381,0.011085598533881934
v1_basic,v1 basic,PeakToPeak_Z,5,0.2353624375528438,0.05751830702694052,0.004552335749594001
v1_basic,v1 basic,Gyro_RMS_X,6,0.2353624375528438,0.022639857431698704,0.006566192596052065
v1_basic,v1 basic,Gyro_RMS_Z,7,0.2353624375528438,-0.0050411285384915705,0.005316582552758624
v2_intensity,v2 intensity,Dynamic_Accel_Mag_RMS,1,0.23109750909741686,0.4363956927512232,0.044955430130723825
v2_intensity,v2 intensity,Accel_Mag_RMS,2,0.23109750909741686,0.42509047084535984,0.04760757329808294
v2_intensity,v2 intensity,Cadence_spm,3,0.23109750909741686,0.3173137570595593,0.03292078850280207
v2_intensity,v2 intensity,Accel_Mag_P95_P05,4,0.23109750909741686,0.1723704287174802,0.01664615839172075
v2_intensity,v2 intensity,RMS_Z,5,0.23109750909741686,0.09098399552748636,0.0069979525075170345
v2_intensity,v2 intensity,Accel_Mag_Jerk_RMS,6,0.23109750909741686,0.06802329999998863,0.009761800289097426
v2_intensity,v2 intensity,Accel_HighFreq_Energy_Ratio,7,0.23109750909741686,0.04536173060147581,0.008004441829525514
v2_intensity,v2 intensity,Gyro_Mag_RMS,8,0.23109750909741686,0.03261369943371261,0.004618498187566453
v2_intensity,v2 intensity,PeakToPeak_Z,9,0.23109750909741686,0.03110817594504146,0.0025044399752716874
v2_intensity,v2 intensity,Accel_Anisotropy,10,0.23109750909741686,0.008017462414409947,0.0022149108054065674
v2_intensity,v2 intensity,Gyro_RMS_X,11,0.23109750909741686,0.004335447397137098,0.0016011075841005733
v2_intensity,v2 intensity,GyroY_PeakToPeak,12,0.23109750909741686,-0.0017550890149101717,0.0010070913528345549
v2_intensity,v2 intensity,Gyro_RMS_Y,13,0.23109750909741686,-0.0019322383948677756,0.002120410745114209
v2_intensity,v2 intensity,Gyro_RMS_Z,14,0.23109750909741686,-0.003732378249827023,0.0023423464542858727
v3_temporal,v3 temporal,Vertical_Peak_Sharpness,1,0.2911381236676556,0.5780575112787826,0.07039249398449214
v3_temporal,v3 temporal,Mean_Impact_Interval_s,2,0.2911381236676556,0.4915704476613953,0.048089321123769936
v3_temporal,v3 temporal,Accel_Mag_RMS,3,0.2911381236676556,0.1764991239224458,0.022232205643437145
v3_temporal,v3 temporal,Dynamic_Accel_Mag_RMS,4,0.2911381236676556,0.13661064832855332,0.014081535648063732
v3_temporal,v3 temporal,Accel_Mag_P95_P05,5,0.2911381236676556,0.08005044739376115,0.00634119718976747
v3_temporal,v3 temporal,Accel_Mag_Jerk_RMS,6,0.2911381236676556,0.06101282790991836,0.006216088033017142
v3_temporal,v3 temporal,RMS_Z,7,0.2911381236676556,0.05816325025048122,0.004414792091181778
v3_temporal,v3 temporal,Mean_Impact_Prominence,8,0.2911381236676556,0.03545060868713867,0.00277801724617067
v3_temporal,v3 temporal,PeakToPeak_Z,9,0.2911381236676556,0.020837109328197188,0.0017370461494495611
v3_temporal,v3 temporal,Impact_Duty_Proxy,10,0.2911381236676556,0.01514658995050431,0.0016286507027263896
v3_temporal,v3 temporal,Cadence_spm,11,0.2911381236676556,0.012914964644716136,0.0016034861276791187
v3_temporal,v3 temporal,Mean_Impact_Width_s,12,0.2911381236676556,0.012745858830591678,0.0047068508993468655
v3_temporal,v3 temporal,Gyro_RMS_X,13,0.2911381236676556,0.00386979294861462,0.0006550438798601379
v3_temporal,v3 temporal,Accel_Anisotropy,14,0.2911381236676556,0.0015922336024800623,0.0011678169082404745
v3_temporal,v3 temporal,Impact_Interval_CV,15,0.2911381236676556,0.00067487611571647,0.0009222387904683742
v3_temporal,v3 temporal,Gyro_RMS_Y,16,0.2911381236676556,0.0002609673939751811,0.0006140911636646104
v3_temporal,v3 temporal,GyroY_PeakToPeak,17,0.2911381236676556,6.620044949422107e-05,8.98301747800836e-05
v3_temporal,v3 temporal,Gyro_RMS_Z,18,0.2911381236676556,3.810860420527621e-05,0.00019280061553525864
v3_temporal,v3 temporal,Impact_Peak_Count,19,0.2911381236676556,0.0,0.0
v3_temporal,v3 temporal,Gyro_Mag_RMS,20,0.2911381236676556,-0.00039314915642232884,0.0006557176625991896
v3_temporal,v3 temporal,Accel_HighFreq_Energy_Ratio,21,0.2911381236676556,-0.023861048406104722,0.00385607030507492
v4_morphology,v4 morphology,Vertical_Peak_Sharpness,1,0.1634656501460112,0.6332106650258679,0.06267688113997638
v4_morphology,v4 morphology,Cadence_spm,2,0.1634656501460112,0.28951429679950114,0.031097259220337854
v4_morphology,v4 morphology,Accel_Mag_RMS,3,0.1634656501460112,0.20675160594048478,0.022494474743674844
v4_morphology,v4 morphology,Dynamic_Accel_Mag_RMS,4,0.1634656501460112,0.1824433654901997,0.01715700164933741
v4_morphology,v4 morphology,Accel_Mag_P95_P05,5,0.1634656501460112,0.09784296042995375,0.007693297378167723
v4_morphology,v4 morphology,RMS_Z,6,0.1634656501460112,0.0795322800124086,0.006105702841367144
v4_morphology,v4 morphology,Accel_Mag_Jerk_RMS,7,0.1634656501460112,0.05150184888434653,0.0058623851377964395
v4_morphology,v4 morphology,Accel_HighFreq_Energy_Ratio,8,0.1634656501460112,0.049490248691405815,0.008525776194994263
v4_morphology,v4 morphology,Impact_Impulse,9,0.1634656501460112,0.04726523519594147,0.0047433776757226246
v4_morphology,v4 morphology,PeakToPeak_Z,10,0.1634656501460112,0.0249143101921346,0.002090934011962156
v4_morphology,v4 morphology,Gyro_Mag_RMS,11,0.1634656501460112,0.01930571720089385,0.0030234092046558824
v4_morphology,v4 morphology,Accel_Anisotropy,12,0.1634656501460112,0.0033221603839590774,0.0015042982503656451
v4_morphology,v4 morphology,Gyro_RMS_X,13,0.1634656501460112,0.0028366446710565586,0.0008671261954761831
v4_morphology,v4 morphology,Gyro_RMS_Z,14,0.1634656501460112,0.0022547088019251064,0.00196167360524353
v4_morphology,v4 morphology,Impact_Local_Kurtosis,15,0.1634656501460112,0.001783334085710813,0.0015930242132084181
v4_morphology,v4 morphology,Peak_Symmetry,16,0.1634656501460112,0.0009926774896849354,0.0004024365139387023
v4_morphology,v4 morphology,Impact_Crest_Factor,17,0.1634656501460112,0.00026816186631719305,0.00038540190288259904
v4_morphology,v4 morphology,Gyro_RMS_Y,18,0.1634656501460112,-0.0014223510028216941,0.0007463004841525687
v4_morphology,v4 morphology,GyroY_PeakToPeak,19,0.1634656501460112,-0.0015785715323005166,0.000629000486332199
