evaluation,fold,held_out_speed_mph,feature_set,model,feature,is_v3_feature,baseline_mae,n_train_windows,n_test_windows,mae_increase_mean,mae_increase_std
cadence_stress,overall,,v2,Random Forest,Cadence_spm,False,0.7192235550438418,297,135,0.11261294908968326,0.02883494038216098
cadence_stress,overall,,v2,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.7192235550438418,297,135,0.004474994487319533,0.001481257764082041
cadence_stress,overall,,v2,Random Forest,Accel_Mag_Jerk_RMS,False,0.7192235550438418,297,135,0.003557434811109317,0.008162893082468842
cadence_stress,overall,,v2,Random Forest,Gyro_RMS_X,False,0.7192235550438418,297,135,0.001948181895922363,0.0007108644965503556
cadence_stress,overall,,v2,Random Forest,PeakToPeak_Z,False,0.7192235550438418,297,135,0.0004425657616992318,0.0008265878583555507
cadence_stress,overall,,v2,Random Forest,Gyro_RMS_Z,False,0.7192235550438418,297,135,0.0003346339438816237,0.0019177028268183094
cadence_stress,overall,,v2,Random Forest,Gyro_Mag_RMS,False,0.7192235550438418,297,135,-1.5715739121041628e-05,0.0011667721429166503
cadence_stress,overall,,v2,Random Forest,Accel_Anisotropy,False,0.7192235550438418,297,135,-7.375841697437324e-05,0.0013600998390119253
cadence_stress,overall,,v2,Random Forest,GyroY_PeakToPeak,False,0.7192235550438418,297,135,-0.0011995612432728008,0.00040011927542646033
cadence_stress,overall,,v2,Random Forest,Gyro_RMS_Y,False,0.7192235550438418,297,135,-0.0013753999186672584,0.001015888447763857
cadence_stress,overall,,v2,Random Forest,Dynamic_Accel_Mag_RMS,False,0.7192235550438418,297,135,-0.017027627175103692,0.025002487123193907
cadence_stress,overall,,v2,Random Forest,RMS_Z,False,0.7192235550438418,297,135,-0.02195999976327669,0.003320386598703547
cadence_stress,overall,,v2,Random Forest,Accel_Mag_RMS,False,0.7192235550438418,297,135,-0.033161262520296025,0.01826372220845035
cadence_stress,overall,,v2,Random Forest,Accel_Mag_P95_P05,False,0.7192235550438418,297,135,-0.04825407783078106,0.006524978345980503
cadence_stress,overall,,v3_full,Random Forest,Mean_Impact_Interval_s,True,0.5078609241209135,297,135,0.3362861630100514,0.042982921195597254
cadence_stress,overall,,v3_full,Random Forest,Vertical_Peak_Sharpness,True,0.5078609241209135,297,135,0.2597297896445537,0.04379928204014784
cadence_stress,overall,,v3_full,Random Forest,Accel_Mag_RMS,False,0.5078609241209135,297,135,0.11299777223881428,0.012799464257215681
cadence_stress,overall,,v3_full,Random Forest,Dynamic_Accel_Mag_RMS,False,0.5078609241209135,297,135,0.07094626271412345,0.00825963930782867
cadence_stress,overall,,v3_full,Random Forest,Accel_Mag_P95_P05,False,0.5078609241209135,297,135,0.0046963609083484625,0.0027796065293315647
cadence_stress,overall,,v3_full,Random Forest,Accel_Mag_Jerk_RMS,False,0.5078609241209135,297,135,0.004202118049004566,0.0023328753250465937
cadence_stress,overall,,v3_full,Random Forest,Mean_Impact_Width_s,True,0.5078609241209135,297,135,0.002531268296196559,0.002636988365180839
cadence_stress,overall,,v3_full,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.5078609241209135,297,135,0.0020276884776929405,0.0011230074317777382
cadence_stress,overall,,v3_full,Random Forest,Impact_Interval_CV,True,0.5078609241209135,297,135,0.001774675598960268,0.000832260877669163
cadence_stress,overall,,v3_full,Random Forest,Accel_Anisotropy,False,0.5078609241209135,297,135,0.0008424330022509752,0.00024732206033329946
cadence_stress,overall,,v3_full,Random Forest,Impact_Duty_Proxy,True,0.5078609241209135,297,135,0.0005899296293550793,0.00032001105587529976
cadence_stress,overall,,v3_full,Random Forest,PeakToPeak_Z,False,0.5078609241209135,297,135,0.0003866859062181538,0.00023346606746296598
cadence_stress,overall,,v3_full,Random Forest,Gyro_Mag_RMS,False,0.5078609241209135,297,135,0.0003048410727465423,0.00022512380609064452
cadence_stress,overall,,v3_full,Random Forest,Gyro_RMS_Z,False,0.5078609241209135,297,135,4.900695874750505e-05,0.0001122075004562218
cadence_stress,overall,,v3_full,Random Forest,Impact_Peak_Count,True,0.5078609241209135,297,135,0.0,0.0
cadence_stress,overall,,v3_full,Random Forest,Gyro_RMS_Y,False,0.5078609241209135,297,135,-6.4615103758269845e-06,0.00040460072170372437
cadence_stress,overall,,v3_full,Random Forest,GyroY_PeakToPeak,False,0.5078609241209135,297,135,-6.182040432147207e-05,4.617181961595199e-05
cadence_stress,overall,,v3_full,Random Forest,Gyro_RMS_X,False,0.5078609241209135,297,135,-0.00040657656841051046,0.00017145991662536442
cadence_stress,overall,,v3_full,Random Forest,RMS_Z,False,0.5078609241209135,297,135,-0.0018642683493562463,0.0015522312121522038
cadence_stress,overall,,v3_full,Random Forest,Mean_Impact_Prominence,True,0.5078609241209135,297,135,-0.0022061354576872194,0.0017447748320230379
cadence_stress,overall,,v3_full,Random Forest,Cadence_spm,False,0.5078609241209135,297,135,-0.009220617553512927,0.0014316954358405396
