speed_mph,feature_version,n_windows,mae_mph
2.0,v1,17,0.22661764705882345
2.0,v2,17,0.16264705882352948
2.0,v3,17,0.6383405236458283
3.0,v1,15,0.12066666666666662
3.0,v2,15,0.3593333333333334
3.0,v3,15,0.3
4.0,v1,16,0.11687499999999995
4.0,v2,16,0.18937500000000002
4.0,v3,16,0.15124999999999994
5.0,v1,14,0.4245309835998451
5.0,v2,14,0.44353366285332163
5.0,v3,14,0.15015199261522794
6.0,v1,15,0.11930911720734513
6.0,v2,15,0.0716137370233693
6.0,v3,15,0.3885243532060756
7.0,v1,18,0.17410018793797263
7.0,v2,18,0.18583114690285424
7.0,v3,18,0.09302141675960618
8.0,v1,15,0.4993662812947541
8.0,v2,15,0.24047253474449562
8.0,v3,15,0.3099350670057198
