summary_level,model,train_scheme,feature_scheme,speed_mph,regime,n_windows,n_recordings,MAE,RMSE,R2
overall,v2_single,single_model,v2,all,all,110,7,0.23109750909741686,0.3049377919515884,0.9773197728392076
overall,v3_single,single_model,v3_full,all,all,110,7,0.2911381236676556,0.37036413785430444,0.9665433269212521
overall,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,all,all,110,7,0.22978244019149474,0.2951717452089735,0.9787492401388155
speed,v2_single,single_model,v2,8.0,running,15,1,0.24047253474449562,0.29512521316922863,
speed,v2_single,single_model,v2,4.0,walking,16,1,0.18937500000000002,0.19516819669198157,
speed,v2_single,single_model,v2,3.0,walking,15,1,0.3593333333333334,0.36478760943869787,
speed,v2_single,single_model,v2,2.0,walking,17,1,0.16264705882352948,0.18478922810469614,
speed,v2_single,single_model,v2,5.0,running,14,1,0.44353366285332163,0.5270869788242579,
speed,v2_single,single_model,v2,6.0,running,15,1,0.0716137370233693,0.11083608783992895,
speed,v2_single,single_model,v2,7.0,running,18,1,0.18583114690285424,0.30389451321792765,
speed,v3_single,single_model,v3_full,8.0,running,15,1,0.3099350670057198,0.32312288110410853,
speed,v3_single,single_model,v3_full,4.0,walking,16,1,0.15124999999999994,0.15799525309324955,
speed,v3_single,single_model,v3_full,3.0,walking,15,1,0.3,0.30914397940118454,
speed,v3_single,single_model,v3_full,2.0,walking,17,1,0.6383405236458283,0.7023293696988872,
speed,v3_single,single_model,v3_full,5.0,running,14,1,0.15015199261522794,0.16632582935382043,
speed,v3_single,single_model,v3_full,6.0,running,15,1,0.3885243532060756,0.3998582670996972,
speed,v3_single,single_model,v3_full,7.0,running,18,1,0.09302141675960618,0.1697136108395937,
speed,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,8.0,running,15,1,0.31093783144455334,0.3220148275739431,
speed,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,4.0,walking,16,1,0.18234374999999992,0.18815199141917147,
speed,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,3.0,walking,15,1,0.1463333333333333,0.15076195364436829,
speed,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,2.0,walking,17,1,0.1489705882352941,0.16972837296172757,
speed,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,5.0,running,14,1,0.13214285714285717,0.16935539554439943,
speed,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,6.0,running,15,1,0.5791742424242425,0.608829105454692,
speed,oracle_regime,walking_v2_running_v3_oracle_actual_speed,v2_if_speed_lt_5_else_v3,7.0,running,18,1,0.13496596183513818,0.19289866025032668,
