feature_set,model,actual_speed_mph,n_windows,n_recordings,mean_error_mph,mean_absolute_error_mph,median_absolute_error_mph,rmse_mph,max_absolute_error_mph
v2,Random Forest,2.5,32,1,-0.4428476542455515,0.44297908070138325,0.4992985923322468,0.4632560793279575,0.4992985923322468
v2,Random Forest,3.0,29,1,-0.29158198581809763,0.2919625229517903,0.2870821160174897,0.3436069591485137,0.5009507481352635
v2,Random Forest,3.5,28,1,0.05008769877548057,0.1207649996012988,0.08776070091334254,0.15949968619563365,0.4947411057807276
v2,Random Forest,4.0,29,1,-0.011550279902393098,0.03741080031285102,0.023579963394249503,0.058559967291651756,0.18087814751714637
v2,Random Forest,4.5,29,1,1.0289499601304728,1.0289499601304728,0.9920637398017833,1.0885325753764972,2.0574776389876455
v2,Random Forest,5.0,33,1,1.2475867512283558,1.2475867512283558,1.2374037599438044,1.2597418719945366,1.9664100036957004
v2,Random Forest,5.5,27,1,0.8394867665056077,0.8394867665056077,0.7211259995128207,0.8941886478913931,1.703529112497213
v2,Random Forest,6.0,26,1,0.1569615546132939,0.1602814508309753,0.16199406376081305,0.16839230498444252,0.26329625834286396
v2,Random Forest,6.5,29,1,-0.15135360257403888,0.18355077625724936,0.17884794437650342,0.20349304174816257,0.36280350720481547
v2,Random Forest,7.0,27,1,-0.5172776923209678,0.5172776923209678,0.5410471275007227,0.5288148061365525,0.6538896195023858
v2,Random Forest,7.5,27,1,-0.854286046626941,0.854286046626941,0.8579334603499627,0.8553926629755283,0.9892953923740739
v2,Random Forest,8.0,27,1,-1.1068233879839846,1.1068233879839846,1.064139963739052,1.112707887120776,1.3516696191076152
v2,Random Forest,8.5,24,1,-1.5514387709380202,1.5514387709380202,1.5344163254315397,1.5555527674775964,1.7935112411822782
v2_plus_vertical_peak_sharpness,Random Forest,2.5,32,1,-0.44054484967323726,0.44144822371321335,0.4991337604199182,0.46224535743199496,0.4991337604199182
v2_plus_vertical_peak_sharpness,Random Forest,3.0,29,1,-0.2854153638296775,0.28691963454104585,0.2742281902962098,0.33963989436204256,0.5018376820270491
v2_plus_vertical_peak_sharpness,Random Forest,3.5,28,1,0.06562584979438514,0.13672439210564083,0.10642307836809106,0.16962280214392772,0.49768979617878983
v2_plus_vertical_peak_sharpness,Random Forest,4.0,29,1,-0.011458259119986915,0.037359283334010215,0.022497499013827138,0.05848999502921421,0.1926788372574424
v2_plus_vertical_peak_sharpness,Random Forest,4.5,29,1,1.0443849052933927,1.0443849052933927,0.9583235003622006,1.107254890032796,1.9685325652251313
v2_plus_vertical_peak_sharpness,Random Forest,5.0,33,1,1.4027000086893293,1.4027000086893293,1.4979914711715887,1.4297767717002077,1.9084230237519328
v2_plus_vertical_peak_sharpness,Random Forest,5.5,27,1,0.9185885565519039,0.9185885565519039,0.9417246454906509,0.9960094980699488,1.802106220676226
v2_plus_vertical_peak_sharpness,Random Forest,6.0,26,1,0.34792458210479893,0.3721076786525097,0.44150835360232277,0.40200911138452916,0.5351797348808542
v2_plus_vertical_peak_sharpness,Random Forest,6.5,29,1,-0.04240066562060101,0.18970543183370328,0.18432126473186017,0.22851958150244175,0.46673080748660123
v2_plus_vertical_peak_sharpness,Random Forest,7.0,27,1,-0.39510646588756526,0.39510646588756526,0.3467990524414528,0.4220089678362992,0.7114315281530761
v2_plus_vertical_peak_sharpness,Random Forest,7.5,27,1,-0.8935042348003783,0.8935042348003783,0.8865982371234553,0.8950660818401209,1.064811637568579
v2_plus_vertical_peak_sharpness,Random Forest,8.0,27,1,-1.1264582805146837,1.1264582805146837,1.0667432775465464,1.1376922936798466,1.4510711940459018
v2_plus_vertical_peak_sharpness,Random Forest,8.5,24,1,-1.5769832899971172,1.5769832899971172,1.5534897631030842,1.5832787522118872,1.9038931229209233
v4_morphology,Random Forest,2.5,32,1,-0.44231855143664434,0.44286095889816657,0.4991050787344786,0.4634556519342563,0.4991050787344786
v4_morphology,Random Forest,3.0,29,1,-0.2701820529178958,0.2736003457767652,0.2552917878762613,0.33412390909435014,0.5053214806156436
v4_morphology,Random Forest,3.5,28,1,0.052309760843070006,0.12059554398402773,0.08404645140662925,0.1592390620487184,0.4780004819867041
v4_morphology,Random Forest,4.0,29,1,-0.020375594750175273,0.031699822448233675,0.014137556406640606,0.0571083106560436,0.18074064891999608
v4_morphology,Random Forest,4.5,29,1,1.0415065352616213,1.0415065352616213,0.9564554826016174,1.1067937377168757,2.030103623417075
v4_morphology,Random Forest,5.0,33,1,1.414797801229266,1.414797801229266,1.4896392043187676,1.4417820948244269,1.96645907550546
v4_morphology,Random Forest,5.5,27,1,0.8907785593918156,0.8907785593918156,0.914229060116444,0.9605854139331097,1.858845753894803
v4_morphology,Random Forest,6.0,26,1,0.39865363962312766,0.41665500892540075,0.4904865724886638,0.4498241843536208,0.5933413300229793
v4_morphology,Random Forest,6.5,29,1,0.009796345870286894,0.20437606882631135,0.19486968649362701,0.236474671428457,0.46638093620108645
v4_morphology,Random Forest,7.0,27,1,-0.27236582722306696,0.3601985195424454,0.3317019068991751,0.3879274716750431,0.7188616465616704
v4_morphology,Random Forest,7.5,27,1,-0.6749400976021316,0.6749400976021316,0.9188104219844764,0.7698452948556311,1.036831917633367
v4_morphology,Random Forest,8.0,27,1,-1.118311508482226,1.118311508482226,1.2349096243070985,1.1834768969973233,1.5084789095245217
v4_morphology,Random Forest,8.5,24,1,-1.3481486396659192,1.3481486396659192,1.2488807282318817,1.4196128793182037,1.9876855476716022
