analysis_type,subset,condition_group,speed_mph,n_windows,n_recordings,mean_vertical_peak_sharpness,mean_cadence_spm,pearson_sharpness_speed,spearman_sharpness_speed,pearson_sharpness_cadence,spearman_sharpness_cadence,pearson_speed_cadence,standardized_speed_coef_controlling_cadence,median_vertical_peak_sharpness,std_vertical_peak_sharpness,std_cadence_spm
correlation,all,mixed,all,559,30,9.563557876146325,140.93023255813952,0.8804547047473288,0.8437586218938473,0.9128174661344898,0.8191586379483661,0.8620139430835857,0.3642727854732831,,,
correlation,normal,normal,all,471,24,9.31989088551343,138.21656050955414,0.881376943604389,0.8415904067496572,0.957627141470128,0.9370857151016918,0.9088206820272934,0.06357892387202804,,,
correlation,decreased,decreased,all,36,3,10.383431929789438,134.0,0.9429094226731984,0.9320546490018001,0.935035562532918,0.9283396291158107,0.9829685125485346,0.704674583406953,,,
correlation,elevated,elevated,all,52,3,11.203013388779835,170.30769230769232,0.8635072099662346,0.8348495601206855,0.5521853202450808,0.5911316508899862,0.8300007915359097,1.302457950669368,,,
correlation,cadence_manipulated_only,mixed,all,88,6,10.867730064647402,155.45454545454547,0.7926742372376178,0.8910847138405835,0.5377333807034951,0.34118117043007296,0.3354713637168565,0.6899249559104599,,,
correlation,day4_only,mixed,all,135,9,11.202170912550665,153.06666666666666,0.7312279683075579,0.8591032641637144,0.4617735726471469,0.2439456256080319,0.3666766916327383,0.6491912985670014,,,
summary_by_condition_speed,by_condition_speed,decreased,5.0,9,1,6.081254760803453,118.66666666666667,,,,,,,6.094573083805059,0.4122862859529957,4.000000000000001
summary_by_condition_speed,by_condition_speed,decreased,6.0,11,1,10.957793890538547,132.0,,,,,,,11.09226882589892,0.4892042253400564,0.0
summary_by_condition_speed,by_condition_speed,decreased,7.0,16,1,12.408532739329047,144.00000000000003,,,,,,,12.442853020880408,0.2705790425598208,0.0
summary_by_condition_speed,by_condition_speed,elevated,5.0,16,1,9.762571760238805,162.75000000000003,,,,,,,9.818748751426163,0.5114828638986972,6.148170459575776
summary_by_condition_speed,by_condition_speed,elevated,6.0,18,1,11.616792286552675,166.66666666666669,,,,,,,11.650839932777359,0.4139929803746423,3.8805700005813346
summary_by_condition_speed,by_condition_speed,elevated,7.0,18,1,12.06962704971014,180.66666666666666,,,,,,,12.009141129048237,0.376453385507221,2.828427124746189
summary_by_condition_speed,by_condition_speed,normal,2.0,32,2,1.5750727096988772,90.0,,,,,,,1.554976848336822,0.1593334375280027,6.096006096009142
summary_by_condition_speed,by_condition_speed,normal,2.5,25,1,1.901740756373315,96.0,,,,,,,1.9299667125809787,0.17191249021499858,0.0
summary_by_condition_speed,by_condition_speed,normal,3.0,36,2,2.2894842734570484,108.0,,,,,,,2.250204137569934,0.1532161531245718,0.0
summary_by_condition_speed,by_condition_speed,normal,3.5,20,1,2.534565959370466,109.8,,,,,,,2.5250169929948387,0.12464182865198059,4.396170582390278
summary_by_condition_speed,by_condition_speed,normal,4.0,34,2,3.3856867094940135,120.0,,,,,,,3.4245970522590747,0.2353569717934238,0.0
summary_by_condition_speed,by_condition_speed,normal,4.5,21,1,7.161239992671507,139.42857142857144,,,,,,,8.419843300779897,2.1655573309257754,5.971360218337454
summary_by_condition_speed,by_condition_speed,normal,5.0,55,3,11.57937476331492,147.92727272727274,,,,,,,10.84788167929303,1.3943882077850713,5.682509048906901
summary_by_condition_speed,by_condition_speed,normal,5.5,21,1,11.456199666307887,144.00000000000003,,,,,,,11.439024359341955,0.2428984689956182,0.0
summary_by_condition_speed,by_condition_speed,normal,6.0,58,3,13.393634816014147,153.51724137931038,,,,,,,12.372890111952188,1.8007529190501081,11.842891685925917
summary_by_condition_speed,by_condition_speed,normal,6.5,20,1,12.476554433510312,154.2,,,,,,,12.51854403607598,0.46257978240619974,4.396170582390273
summary_by_condition_speed,by_condition_speed,normal,7.0,63,3,13.802625085026277,158.0952380952381,,,,,,,13.19334974887484,1.4940787723094162,6.656828378086637
summary_by_condition_speed,by_condition_speed,normal,7.5,28,1,13.435957208110242,156.0,,,,,,,13.507505867008842,0.41598598332929004,0.0
summary_by_condition_speed,by_condition_speed,normal,8.0,37,2,12.934604375433553,157.2972972972973,,,,,,,13.013659656356284,0.4019889839050538,3.777601126412145
summary_by_condition_speed,by_condition_speed,normal,8.5,21,1,12.616683971798583,163.42857142857144,,,,,,,12.796050997588091,0.48757589270675183,5.971360218337444
